INDUS,NOX,RM,AGE,TAX,PTRATIO,LSTAT,MEDV
2.31,0.538,6.575,65.2,296.0,15.3,4.98,24.0
7.07,0.469,6.421,78.9,242.0,17.8,9.14,21.6
7.07,0.469,7.185,61.1,242.0,17.8,4.03,34.7
2.18,0.458,6.998,45.8,222.0,18.7,2.94,33.4
2.18,0.458,7.147,54.2,222.0,18.7,5.33,36.2
2.18,0.458,6.43,58.7,222.0,18.7,5.21,28.7
7.87,0.524,6.012,66.6,311.0,15.2,12.43,22.9
7.87,0.524,6.172,96.1,311.0,15.2,19.15,27.1
7.87,0.524,5.631,100.0,311.0,15.2,29.93,16.5
7.87,0.524,6.004,85.9,311.0,15.2,17.1,18.9
7.87,0.524,6.377,94.3,311.0,15.2,20.45,15.0
7.87,0.524,6.009,82.9,311.0,15.2,13.27,18.9
7.87,0.524,5.889,39.0,311.0,15.2,15.71,21.7
8.14,0.538,5.949,61.8,307.0,21.0,8.26,20.4
8.14,0.538,6.096,84.5,307.0,21.0,10.26,18.2
8.14,0.538,5.834,56.5,307.0,21.0,8.47,19.9
8.14,0.538,5.935,29.3,307.0,21.0,6.58,23.1
8.14,0.538,5.99,81.7,307.0,21.0,14.67,17.5
8.14,0.538,5.456,36.6,307.0,21.0,11.69,20.2
8.14,0.538,5.727,69.5,307.0,21.0,11.28,18.2
8.14,0.538,5.57,98.1,307.0,21.0,21.02,13.6
8.14,0.538,5.965,89.2,307.0,21.0,13.83,19.6
8.14,0.538,6.142,91.7,307.0,21.0,18.72,15.2
8.14,0.538,5.813,100.0,307.0,21.0,19.88,14.5
8.14,0.538,5.924,94.1,307.0,21.0,16.3,15.6
8.14,0.538,5.599,85.7,307.0,21.0,16.51,13.9
8.14,0.538,5.813,90.3,307.0,21.0,14.81,16.6
8.14,0.538,6.047,88.8,307.0,21.0,17.28,14.8
8.14,0.538,6.495,94.4,307.0,21.0,12.8,18.4
8.14,0.538,6.674,87.3,307.0,21.0,11.98,21.0
8.14,0.538,5.713,94.1,307.0,21.0,22.6,12.7
8.14,0.538,6.072,100.0,307.0,21.0,13.04,14.5
8.14,0.538,5.95,82.0,307.0,21.0,27.71,13.2
8.14,0.538,5.701,95.0,307.0,21.0,18.35,13.1
8.14,0.538,6.096,96.9,307.0,21.0,20.34,13.5
5.96,0.499,5.933,68.2,279.0,19.2,9.68,18.9
5.96,0.499,5.841,61.4,279.0,19.2,11.41,20.0
5.96,0.499,5.85,41.5,279.0,19.2,8.77,21.0
5.96,0.499,5.966,30.2,279.0,19.2,10.13,24.7
2.95,0.428,6.595,21.8,252.0,18.3,4.32,30.8
2.95,0.428,7.024,15.8,252.0,18.3,1.98,34.9
6.91,0.448,6.77,2.9,233.0,17.9,4.84,26.6
6.91,0.448,6.169,6.6,233.0,17.9,5.81,25.3
6.91,0.448,6.211,6.5,233.0,17.9,7.44,24.7
6.91,0.448,6.069,40.0,233.0,17.9,9.55,21.2
6.91,0.448,5.682,33.8,233.0,17.9,10.21,19.3
6.91,0.448,5.786,33.3,233.0,17.9,14.15,20.0
6.91,0.448,6.03,85.5,233.0,17.9,18.8,16.6
6.91,0.448,5.399,95.3,233.0,17.9,30.81,14.4
6.91,0.448,5.602,62.0,233.0,17.9,16.2,19.4
5.64,0.439,5.963,45.7,243.0,16.8,13.45,19.7
5.64,0.439,6.115,63.0,243.0,16.8,9.43,20.5
5.64,0.439,6.511,21.1,243.0,16.8,5.28,25.0
5.64,0.439,5.998,21.4,243.0,16.8,8.43,23.4
4.0,0.41,5.888,47.6,469.0,21.1,14.8,18.9
1.22,0.403,7.249,21.9,226.0,17.9,4.81,35.4
0.74,0.41,6.383,35.7,313.0,17.3,5.77,24.7
1.32,0.411,6.816,40.5,256.0,15.1,3.95,31.6
5.13,0.453,6.145,29.2,284.0,19.7,6.86,23.3
5.13,0.453,5.927,47.2,284.0,19.7,9.22,19.6
5.13,0.453,5.741,66.2,284.0,19.7,13.15,18.7
5.13,0.453,5.966,93.4,284.0,19.7,14.44,16.0
5.13,0.453,6.456,67.8,284.0,19.7,6.73,22.2
5.13,0.453,6.762,43.4,284.0,19.7,9.5,25.0
1.38,0.4161,7.104,59.5,216.0,18.6,8.05,33.0
3.37,0.398,6.29,17.8,337.0,16.1,4.67,23.5
3.37,0.398,5.787,31.1,337.0,16.1,10.24,19.4
6.07,0.409,5.878,21.4,345.0,18.9,8.1,22.0
6.07,0.409,5.594,36.8,345.0,18.9,13.09,17.4
6.07,0.409,5.885,33.0,345.0,18.9,8.79,20.9
10.81,0.413,6.417,6.6,305.0,19.2,6.72,24.2
10.81,0.413,5.961,17.5,305.0,19.2,9.88,21.7
10.81,0.413,6.065,7.8,305.0,19.2,5.52,22.8
10.81,0.413,6.245,6.2,305.0,19.2,7.54,23.4
12.83,0.437,6.273,6.0,398.0,18.7,6.78,24.1
12.83,0.437,6.286,45.0,398.0,18.7,8.94,21.4
12.83,0.437,6.279,74.5,398.0,18.7,11.97,20.0
12.83,0.437,6.14,45.8,398.0,18.7,10.27,20.8
12.83,0.437,6.232,53.7,398.0,18.7,12.34,21.2
12.83,0.437,5.874,36.6,398.0,18.7,9.1,20.3
4.86,0.426,6.727,33.5,281.0,19.0,5.29,28.0
4.86,0.426,6.619,70.4,281.0,19.0,7.22,23.9
4.86,0.426,6.302,32.2,281.0,19.0,6.72,24.8
4.86,0.426,6.167,46.7,281.0,19.0,7.51,22.9
4.49,0.449,6.389,48.0,247.0,18.5,9.62,23.9
4.49,0.449,6.63,56.1,247.0,18.5,6.53,26.6
4.49,0.449,6.015,45.1,247.0,18.5,12.86,22.5
4.49,0.449,6.121,56.8,247.0,18.5,8.44,22.2
3.41,0.489,7.007,86.3,270.0,17.8,5.5,23.6
3.41,0.489,7.079,63.1,270.0,17.8,5.7,28.7
3.41,0.489,6.417,66.1,270.0,17.8,8.81,22.6
3.41,0.489,6.405,73.9,270.0,17.8,8.2,22.0
15.04,0.464,6.442,53.6,270.0,18.2,8.16,22.9
15.04,0.464,6.211,28.9,270.0,18.2,6.21,25.0
15.04,0.464,6.249,77.3,270.0,18.2,10.59,20.6
2.89,0.445,6.625,57.8,276.0,18.0,6.65,28.4
2.89,0.445,6.163,69.6,276.0,18.0,11.34,21.4
2.89,0.445,8.069,76.0,276.0,18.0,4.21,38.7
2.89,0.445,7.82,36.9,276.0,18.0,3.57,43.8
2.89,0.445,7.416,62.5,276.0,18.0,6.19,33.2
8.56,0.52,6.727,79.9,384.0,20.9,9.42,27.5
8.56,0.52,6.781,71.3,384.0,20.9,7.67,26.5
8.56,0.52,6.405,85.4,384.0,20.9,10.63,18.6
8.56,0.52,6.137,87.4,384.0,20.9,13.44,19.3
8.56,0.52,6.167,90.0,384.0,20.9,12.33,20.1
8.56,0.52,5.851,96.7,384.0,20.9,16.47,19.5
8.56,0.52,5.836,91.9,384.0,20.9,18.66,19.5
8.56,0.52,6.127,85.2,384.0,20.9,14.09,20.4
8.56,0.52,6.474,97.1,384.0,20.9,12.27,19.8
8.56,0.52,6.229,91.2,384.0,20.9,15.55,19.4
8.56,0.52,6.195,54.4,384.0,20.9,13.0,21.7
10.01,0.547,6.715,81.6,432.0,17.8,10.16,22.8
10.01,0.547,5.913,92.9,432.0,17.8,16.21,18.8
10.01,0.547,6.092,95.4,432.0,17.8,17.09,18.7
10.01,0.547,6.254,84.2,432.0,17.8,10.45,18.5
10.01,0.547,5.928,88.2,432.0,17.8,15.76,18.3
10.01,0.547,6.176,72.5,432.0,17.8,12.04,21.2
10.01,0.547,6.021,82.6,432.0,17.8,10.3,19.2
10.01,0.547,5.872,73.1,432.0,17.8,15.37,20.4
10.01,0.547,5.731,65.2,432.0,17.8,13.61,19.3
25.65,0.581,5.87,69.7,188.0,19.1,14.37,22.0
25.65,0.581,6.004,84.1,188.0,19.1,14.27,20.3
25.65,0.581,5.961,92.9,188.0,19.1,17.93,20.5
25.65,0.581,5.856,97.0,188.0,19.1,25.41,17.3
25.65,0.581,5.879,95.8,188.0,19.1,17.58,18.8
25.65,0.581,5.986,88.4,188.0,19.1,14.81,21.4
25.65,0.581,5.613,95.6,188.0,19.1,27.26,15.7
21.89,0.624,5.693,96.0,437.0,21.2,17.19,16.2
21.89,0.624,6.431,98.8,437.0,21.2,15.39,18.0
21.89,0.624,5.637,94.7,437.0,21.2,18.34,14.3
21.89,0.624,6.458,98.9,437.0,21.2,12.6,19.2
21.89,0.624,6.326,97.7,437.0,21.2,12.26,19.6
21.89,0.624,6.372,97.9,437.0,21.2,11.12,23.0
21.89,0.624,5.822,95.4,437.0,21.2,15.03,18.4
21.89,0.624,5.757,98.4,437.0,21.2,17.31,15.6
21.89,0.624,6.335,98.2,437.0,21.2,16.96,18.1
21.89,0.624,5.942,93.5,437.0,21.2,16.9,17.4
21.89,0.624,6.454,98.4,437.0,21.2,14.59,17.1
21.89,0.624,5.857,98.2,437.0,21.2,21.32,13.3
21.89,0.624,6.151,97.9,437.0,21.2,18.46,17.8
21.89,0.624,6.174,93.6,437.0,21.2,24.16,14.0
19.58,0.871,5.403,100.0,403.0,14.7,26.82,13.4
19.58,0.871,5.468,100.0,403.0,14.7,26.42,15.6
19.58,0.871,4.903,97.8,403.0,14.7,29.29,11.8
19.58,0.871,6.13,100.0,403.0,14.7,27.8,13.8
19.58,0.871,5.628,100.0,403.0,14.7,16.65,15.6
19.58,0.871,4.926,95.7,403.0,14.7,29.53,14.6
19.58,0.871,5.186,93.8,403.0,14.7,28.32,17.8
19.58,0.871,5.597,94.9,403.0,14.7,21.45,15.4
19.58,0.871,6.122,97.3,403.0,14.7,14.1,21.5
19.58,0.871,5.404,100.0,403.0,14.7,13.28,19.6
19.58,0.871,5.012,88.0,403.0,14.7,12.12,15.3
19.58,0.871,5.709,98.5,403.0,14.7,15.79,19.4
19.58,0.871,6.129,96.0,403.0,14.7,15.12,17.0
19.58,0.871,6.152,82.6,403.0,14.7,15.02,15.6
19.58,0.871,5.272,94.0,403.0,14.7,16.14,13.1
19.58,0.605,6.943,97.4,403.0,14.7,4.59,41.3
19.58,0.605,6.066,100.0,403.0,14.7,6.43,24.3
19.58,0.871,6.51,100.0,403.0,14.7,7.39,23.3
19.58,0.605,6.25,92.6,403.0,14.7,5.5,27.0
19.58,0.605,7.489,90.8,403.0,14.7,1.73,50.0
19.58,0.605,7.802,98.2,403.0,14.7,1.92,50.0
19.58,0.605,8.375,93.9,403.0,14.7,3.32,50.0
19.58,0.605,5.854,91.8,403.0,14.7,11.64,22.7
19.58,0.605,6.101,93.0,403.0,14.7,9.81,25.0
19.58,0.605,7.929,96.2,403.0,14.7,3.7,50.0
19.58,0.605,5.877,79.2,403.0,14.7,12.14,23.8
19.58,0.605,6.319,96.1,403.0,14.7,11.1,23.8
19.58,0.605,6.402,95.2,403.0,14.7,11.32,22.3
19.58,0.605,5.875,94.6,403.0,14.7,14.43,17.4
19.58,0.605,5.88,97.3,403.0,14.7,12.03,19.1
4.05,0.51,5.572,88.5,296.0,16.6,14.69,23.1
4.05,0.51,6.416,84.1,296.0,16.6,9.04,23.6
4.05,0.51,5.859,68.7,296.0,16.6,9.64,22.6
4.05,0.51,6.546,33.1,296.0,16.6,5.33,29.4
4.05,0.51,6.02,47.2,296.0,16.6,10.11,23.2
4.05,0.51,6.315,73.4,296.0,16.6,6.29,24.6
4.05,0.51,6.86,74.4,296.0,16.6,6.92,29.9
2.46,0.488,6.98,58.4,193.0,17.8,5.04,37.2
2.46,0.488,7.765,83.3,193.0,17.8,7.56,39.8
2.46,0.488,6.144,62.2,193.0,17.8,9.45,36.2
2.46,0.488,7.155,92.2,193.0,17.8,4.82,37.9
2.46,0.488,6.563,95.6,193.0,17.8,5.68,32.5
2.46,0.488,5.604,89.8,193.0,17.8,13.98,26.4
2.46,0.488,6.153,68.8,193.0,17.8,13.15,29.6
2.46,0.488,7.831,53.6,193.0,17.8,4.45,50.0
3.44,0.437,6.782,41.1,398.0,15.2,6.68,32.0
3.44,0.437,6.556,29.1,398.0,15.2,4.56,29.8
3.44,0.437,7.185,38.9,398.0,15.2,5.39,34.9
3.44,0.437,6.951,21.5,398.0,15.2,5.1,37.0
3.44,0.437,6.739,30.8,398.0,15.2,4.69,30.5
3.44,0.437,7.178,26.3,398.0,15.2,2.87,36.4
2.93,0.401,6.8,9.9,265.0,15.6,5.03,31.1
2.93,0.401,6.604,18.8,265.0,15.6,4.38,29.1
0.46,0.422,7.875,32.0,255.0,14.4,2.97,50.0
1.47,0.403,6.975,15.3,402.0,17.0,4.56,34.9
1.47,0.403,7.135,13.9,402.0,17.0,4.45,32.9
2.03,0.415,6.162,38.4,348.0,14.7,7.43,24.1
2.03,0.415,7.61,15.7,348.0,14.7,3.11,42.3
2.68,0.4161,7.853,33.2,224.0,14.7,3.81,48.5
2.68,0.4161,8.034,31.9,224.0,14.7,2.88,50.0
10.59,0.489,5.891,22.3,277.0,18.6,10.87,22.6
10.59,0.489,6.326,52.5,277.0,18.6,10.97,24.4
10.59,0.489,5.783,72.7,277.0,18.6,18.06,22.5
10.59,0.489,6.064,59.1,277.0,18.6,14.66,24.4
10.59,0.489,5.344,100.0,277.0,18.6,23.09,20.0
10.59,0.489,5.96,92.1,277.0,18.6,17.27,21.7
10.59,0.489,5.404,88.6,277.0,18.6,23.98,19.3
10.59,0.489,5.807,53.8,277.0,18.6,16.03,22.4
10.59,0.489,6.375,32.3,277.0,18.6,9.38,28.1
10.59,0.489,5.412,9.8,277.0,18.6,29.55,23.7
10.59,0.489,6.182,42.4,277.0,18.6,9.47,25.0
13.89,0.55,5.888,56.0,276.0,16.4,13.51,23.3
13.89,0.55,6.642,85.1,276.0,16.4,9.69,28.7
13.89,0.55,5.951,93.8,276.0,16.4,17.92,21.5
13.89,0.55,6.373,92.4,276.0,16.4,10.5,23.0
6.2,0.507,6.951,88.5,307.0,17.4,9.71,26.7
6.2,0.507,6.164,91.3,307.0,17.4,21.46,21.7
6.2,0.507,6.879,77.7,307.0,17.4,9.93,27.5
6.2,0.507,6.618,80.8,307.0,17.4,7.6,30.1
6.2,0.504,8.266,78.3,307.0,17.4,4.14,44.8
6.2,0.504,8.725,83.0,307.0,17.4,4.63,50.0
6.2,0.504,8.04,86.5,307.0,17.4,3.13,37.6
6.2,0.504,7.163,79.9,307.0,17.4,6.36,31.6
6.2,0.504,7.686,17.0,307.0,17.4,3.92,46.7
6.2,0.504,6.552,21.4,307.0,17.4,3.76,31.5
6.2,0.504,5.981,68.1,307.0,17.4,11.65,24.3
6.2,0.504,7.412,76.9,307.0,17.4,5.25,31.7
6.2,0.507,8.337,73.3,307.0,17.4,2.47,41.7
6.2,0.507,8.247,70.4,307.0,17.4,3.95,48.3
6.2,0.507,6.726,66.5,307.0,17.4,8.05,29.0
6.2,0.507,6.086,61.5,307.0,17.4,10.88,24.0
6.2,0.507,6.631,76.5,307.0,17.4,9.54,25.1
6.2,0.507,7.358,71.6,307.0,17.4,4.73,31.5
4.93,0.428,6.481,18.5,300.0,16.6,6.36,23.7
4.93,0.428,6.606,42.2,300.0,16.6,7.37,23.3
4.93,0.428,6.897,54.3,300.0,16.6,11.38,22.0
4.93,0.428,6.095,65.1,300.0,16.6,12.4,20.1
4.93,0.428,6.358,52.9,300.0,16.6,11.22,22.2
4.93,0.428,6.393,7.8,300.0,16.6,5.19,23.7
5.86,0.431,5.593,76.5,330.0,19.1,12.5,17.6
5.86,0.431,5.605,70.2,330.0,19.1,18.46,18.5
5.86,0.431,6.108,34.9,330.0,19.1,9.16,24.3
5.86,0.431,6.226,79.2,330.0,19.1,10.15,20.5
5.86,0.431,6.433,49.1,330.0,19.1,9.52,24.5
5.86,0.431,6.718,17.5,330.0,19.1,6.56,26.2
5.86,0.431,6.487,13.0,330.0,19.1,5.9,24.4
5.86,0.431,6.438,8.9,330.0,19.1,3.59,24.8
5.86,0.431,6.957,6.8,330.0,19.1,3.53,29.6
5.86,0.431,8.259,8.4,330.0,19.1,3.54,42.8
3.64,0.392,6.108,32.0,315.0,16.4,6.57,21.9
3.64,0.392,5.876,19.1,315.0,16.4,9.25,20.9
3.75,0.394,7.454,34.2,244.0,15.9,3.11,44.0
6.96,0.464,5.92,61.5,223.0,18.6,13.65,20.7
6.96,0.464,5.856,42.1,223.0,18.6,13.0,21.1
